,Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl,Longitude,Latitude
238,43922,Vasquez and Franz 2008,Granite (fayalite bearing),P,Cobquecura Pluton,0,699672.0,6008232.0,211.6,71.99,0.34,13.92,3.68,3.56,1.23,2.45,3.56,0.08,0.25,1.87,4.18,3.67,0.06,0.39,100.97,100.58,0.0,0,0.0,0,0,0,0.0,283.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,88.0,59.0,-2.5,-15.0,-15.0,0.0,0.0,-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0,0.0,0.0,-66.783335007602,-36.050000957789706
239,44107,Vasquez and Franz 2008,Dike,P,Cobquecura Pluton,0,696544.0,6002753.0,211.6,76.0,0.12,12.54,1.57,1.52,0.52,1.05,1.52,0.03,0.25,0.64,3.62,4.14,0.05,0.33,100.21,99.88,0.0,0,0.0,0,0,0,0.0,173.0,0.0,0.0,24.0,48.0,7,27.0,7.0,0.7,7.1,1.3,7.8,1.6,4.6,0.71,4.2,0.59,-4,50.0,140.0,11,-15.0,-15.0,0.0,0.0,-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0,0.0,0.0,-66.81667313335618,-36.09999966049097
240,44108,Vasquez and Franz 2008,Granite (fayalite bearing),P,Cobquecura Pluton,0,701216.0,6010047.0,211.6,63.09,0.88,15.06,8.46,8.18,2.82,5.64,8.18,0.15,0.87,4.24,4.06,2.4,0.27,0.41,100.97,100.56,0.0,0,0.0,0,0,0,0.0,226.0,0.0,0.0,29.0,64.0,8,35.0,8.0,2.3,8.2,1.3,8.0,1.6,4.5,0.67,4.2,0.64,21,119.0,46.0,-2.5,-5.0,42.0,0.0,0.0,-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0,0.0,0.0,-66.76666793917674,-36.033331520142035
241,44138,Vasquez and Franz 2008,Gabbro,P,Cobquecura Pluton,0,696544.0,6002753.0,211.6,52.9,1.23,17.8,6.96,6.84,1.16,5.8,6.84,0.11,5.28,8.35,3.41,1.17,0.17,1.35,99.36,98.01,0.0,0,0.0,0,0,0,0.0,139.0,0.0,0.0,12.0,28.0,4,15.0,4.0,1.4,4.3,0.7,4.5,0.9,2.6,0.38,2.5,0.38,20,56.0,64.0,39,214.0,168.0,0.0,0.0,-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0,0.0,0.0,-66.81667313335618,-36.09999966049097
242,44652,Vasquez and Franz 2008,Gabronorite,P,Cobquecura Pluton,0,701258.0,6011895.0,211.6,50.73,3.0,16.89,10.46,10.29,1.74,8.72,10.29,0.19,5.22,9.61,3.15,0.37,0.18,0.06,101.28,101.22,0.0,0,0.0,0,0,0,0.0,109.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,90.0,58.0,19,50.0,351.0,0.0,0.0,-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0,0.0,0.0,-66.76667223213356,-36.01667413825709
243,46447,Vasquez and Franz 2008,Gabbro,P,Cobquecura Pluton,0,698129.0,6006417.0,211.6,50.88,1.44,16.12,8.43,8.29,1.41,7.03,8.29,0.15,7.09,8.7,3.16,0.8,0.16,1.35,99.36,98.01,0.0,0,0.0,0,0,0,0.0,125.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23,44.0,72.0,45,123.0,216.0,0.0,0.0,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0,0.0,0.0,-66.79999795199883,-36.06666807482126
244,FL-16-6,Rodriguez et al 2019,Granodiorite,P,Flamenco Pluton,Coastal Range batholith,333000.0,7058000.0,213.2,66.77,0.48,16.55,4.42,4.29,1.26,3.16,4.29,0.07,1.78,4.23,4.42,1.58,0.12,0.43,100.9,100.47,357.0,41.1,321.0,3.5,0,0,5.3,0.0,-5.0,15.1,16.1,32.6,4.1,15.8,2.9,0.9,2.7,0.4,2.4,0.5,1.5,0.2,1.3,0.25,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.67701014864966,-26.588922013404385
245,SA-1030,Brown 1991,Undefined plutonic rock,P,Cerros del Vetado Complex,0,350235.0,7092070.0,217.0,76.02,0.21,12.67,1.82,1.76,0.61,1.21,1.76,0.03,0.37,0.74,3.08,4.71,0.05,0.54,100.23,99.69,46.0,245,230.0,18.3,2.51,0.84,5.0,88.0,3.26,54.0,25.5,61.9,0,29.8,6.87,0.42,7.6,1.39,0.0,0.0,0.0,0.0,6.72,0.7,0,28.0,0.0,7,0.0,16.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,20,0.0,0.0,-70.49999959579802,-26.28333283738815
246,SA-1031,Brown 1991,Undefined plutonic rock,P,Cerros del Vetado Complex,0,350235.0,7092070.0,217.0,68.83,0.39,15.32,3.17,3.08,0.91,2.26,3.08,0.04,0.73,1.8,3.68,4.74,0.1,0.99,99.8,98.81,87.0,224,526.0,23.3,3.44,1.1,8.0,151.0,5.66,50.0,40.6,86.6,0,46.4,9.25,0.94,9.4,1.58,0.0,0.0,0.0,0.0,6.34,0.75,0,54.0,0.0,10,0.0,38.0,0.0,0.0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,25,0.0,0.0,-70.49999959579802,-26.28333283738815
247,SA-1032,Brown 1991,Undefined plutonic rock,P,Cerros del Vetado Complex,0,350235.0,7092070.0,217.0,77.59,0.05,12.68,0.52,0.5,0.17,0.35,0.5,0.01,0.08,0.65,3.68,4.64,0.02,0.39,100.32,99.93,20.0,239,-0.25,11.9,3.35,0.73,2.0,54.0,2.1,46.0,11.9,24.4,0,12.8,4.1,0.05,4.1,1.08,0.0,0.0,0.0,0.0,7.48,0.85,0,18.0,0.0,4,0.0,4.0,0.0,0.0,-2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,26,0.0,0.0,-70.49999959579802,-26.28333283738815
248,03_31,Vasquez et al 2011,Granite,P,Triassic Pluton,Constitucion,186451.0,6082287.0,224.0,71.9,0.25,13.9,1.95,1.88,0.65,1.3,1.88,0.04,0.42,1.39,3.71,4.07,0.06,0.39,98.2,97.81,88.0,250,453.0,15,5.5,1.3,10.0,132.0,-3.0,22.0,26.0,51.0,6.1,22.0,4.7,0.6,4.3,0.8,4.3,0.8,2.4,0.39,2.5,0.37,5,33.0,134.0,-10,-10.0,25.0,0.0,0.0,0,0,0.0,0.0,8.8,0.0,0.0,0.0,13.0,19.0,0.0,0.0,0.0,31,0.0,0.0,-72.45030400073082,-35.3535040694098
249,03_33,Vasquez et al 2011,Granite,P,Triassic Pluton,Constitucion,188052.0,6086254.0,224.0,70.5,0.37,14.5,2.55,2.46,0.85,1.7,2.46,0.05,0.7,1.6,3.31,4.34,0.22,0.78,99.1,98.32,-0.05,-0.1,568.0,-0.05,-0.03,-0.25,13.0,167.0,6.0,-0.25,-0.01,-0.01,-0.01,-0.05,-0.05,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.05,-0.05,-0.03,8,73.0,140.0,15,-15.0,-15.0,0.0,0.0,0,0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.05,18.0,0.0,0.0,0.0,-2.5,0.0,0.0,-72.43120341670429,-35.318299641709444
250,03_34,Vasquez et al 2011,Granodiorite,P,Triassic Pluton,Constitucion,182650.0,6086065.0,224.0,68.7,0.55,15.5,3.7,3.59,1.06,2.64,3.59,0.08,1.26,2.57,4.36,1.9,0.14,1.1,100.0,98.9,-0.05,-0.1,283.0,-0.05,-0.03,-0.25,15.0,177.0,6.0,-0.25,-0.01,-0.01,-0.01,-0.05,-0.05,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.05,-0.05,-0.03,10,76.0,140.0,15,34.0,50.0,0.0,0.0,0,0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.05,20.0,0.0,0.0,0.0,-2.5,0.0,0.0,-72.49059725338789,-35.31830077964877
