Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl
QSR-1,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,360817,7193730,160,62.54,0.67,17.23,6.16,5.54,6.16,0,5.54,0.08,2.49,5.31,3.97,1.66,0.18,0.49,100.83,100.34,385,48.3,400,3.28,0.61,-0.25,6,153,5,23,16.19,34.64,4.3,17.17,3.71,1.04,3.71,0.55,3.62,0.72,2.11,0.3,1.99,0.31,15,40,0,-4,11,118,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,4.42,0,0
QSR-8,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,360817,7193730,160,58.19,0.89,18.99,3.31,2.98,3.31,0,2.98,0.16,4,8.34,4.45,0.51,0.01,0.65,99.44,98.79,630,17.1,137,2.45,0.26,-0.25,4,130,4,15,4.96,9.92,1.33,6.31,1.88,0.89,2.14,0.38,2.38,0.5,1.49,0.21,1.47,0.23,18,36,0,12,23,74,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,8.9,0,0
CBV-67,Parada et al 1999,Tonalite,P,Papudo-Quintero Complex,Quintero,265612,6351021,164,63.13,0.59,16.03,9.05,8.5,5.53,3.52,8.5,0.14,2.07,4.91,3.74,3.05,0.12,0.58,103.41,102.83,367,110,570,11.4,2.4,0,19,231.09,0,32,19.9,52,0,27.6,6.66,1.31,5.31,0,4.9,0,2.7,0,3.11,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBV-69,Parada et al 1999,Leucogranite,P,Papudo-Quintero Complex,Quintero,265612,6351021,164,74.53,0.03,13.66,1.08,0,1.08,0,1.08,0.02,0,1.17,2.87,5.66,0,0,99.02,99.02,335,158,2000,0,0,0,7,131.7,0,4,24.3,42.1,0,11,1.6,0.53,0.92,0,0.48,0,0.34,0,0.58,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBV-73,Parada et al 1999,Diorite,P,Papudo-Quintero Complex,Quintero,276869,6402092,164,51.16,0.94,18.78,9.17,0,9.17,0,9.17,0.18,4.05,8.9,3.71,1.52,0.33,0,98.74,98.74,601,31,478,0,0,0,12,180.04,0,24,20.5,47.6,0,25.7,5.77,1.55,4.54,0,3.8,0,2,0,2.06,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBV-75,Parada et al 1999,Granodiorite,P,Papudo-Quintero Complex,Quintero,276269,6402092,164,68.04,0.35,14.81,3.97,0,3.97,0,3.97,0.08,1.04,2.83,3.46,4.14,0.11,0,98.83,98.83,169,129,544,19.3,1.8,0,8,190.11,0,23,20.9,40.3,0,20.6,4.77,0.92,3.52,0,3.38,0,1.96,0,2.36,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F2-5,Parada et al 1999,Undefined plutonic rock,P,Papudo-Quintero Complex,Quintero,265612,6351021,164,52.9,0.96,18.28,18.99,17.99,10,8.99,17.99,0.17,3.45,7.44,4.72,1.12,0.3,0.42,108.75,108.33,497,29,252,2.9,0.6,0,-2.5,150,0,22,19.4,39.3,0,22.1,5.17,1.54,4.31,0,3.96,0,1.89,0,2.07,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
F2-6,Parada et al 1999,Undefined plutonic rock,P,Papudo-Quintero Complex,Quintero,265612,6351021,164,52.37,0.86,18.42,17.45,16.53,9.19,8.26,16.53,0.2,4.09,7.08,4.62,1.62,0.3,0.95,107.96,107.01,324,119,171,6.7,1.8,0,-2.5,135,0,26,25.7,52.2,0,27.8,6.82,1.19,5.89,0,4.46,0,2.48,0,2.49,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
F2-9,Parada et al 1999,Tonalite,P,Papudo-Quintero Complex,Quintero,271634,6392101,164,65.64,0.43,15.66,9.02,8.54,4.75,4.27,8.54,0.08,1.41,4.08,3.75,3.06,0.13,0.72,103.98,103.26,367,100,552,15.4,2,0,-2.5,155,0,18,21.6,47,0,22.1,4.99,1.12,4.17,0,3.1,0,1.74,0,3.1,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
C9G-388,Girardi 2014,Ton,P,Plutón Sierra El Roble,Moradito,,,164.4,62.33,0.89,14.48,,,1.55,3.97,3.97,0.09,2.49,5.05,3.24,3.09,0.16,0.74,98.08,97.34,200,219,254,26.4,2.61,0.8,9.3,406,8.7,31.4,21.3,51.5,6.2,24.3,5.25,0.78,5.06,0.81,4.86,0.94,2.84,0.44,2.89,0.46,,,,,,,,,,,,,,,,,,,,,,,,
CaB-188a,Girardi 2014,Qdi,P,Plutón Sierra El Roble,Moradito,,,165,59.94,1.04,15.11,,,7.36,,7.36,0.12,3.33,6.32,3.35,2.47,0.2,0.53,99.77,99.24,277,103,268,9.18,1.81,0.68,8.1,468,9.2,31.3,21.3,50.4,6.28,25.6,5.95,1.21,5.39,0.9,5.13,1.03,2.96,0.46,2.98,0.5,,,,,,,,,,,,,,,,,,,,,,,,
CaB-188b,Girardi 2014,Qdi,P,Plutón Sierra El Roble,Moradito,,,165,61.17,1.06,15.15,,,4.67,,4.67,0.06,2.7,6.44,4.96,1.04,0.17,1.96,99.38,97.42,307,49,105,9.16,2.78,0.73,8.6,331,6.8,30.4,19.1,53.2,7.03,28.7,6.25,1.75,5.46,0.88,5,0.99,2.86,0.44,2.84,0.47,,,,,,,,,,,,,,,,,,,,,,,,
CaB-194a,Girardi 2014,Ton,P,Plutón Sierra El Roble,Moradito,,,165,67.64,0.76,13.99,,,2.18,2.47,2.47,0.06,2.1,3.84,2.89,3.36,0.15,0.52,99.96,99.44,200,190,227,29.3,3.7,0.7,7,294,6.1,20.8,21.3,47.9,5.4,20.3,4.15,0.85,3.57,0.58,3.27,0.65,1.94,0.3,1.99,0.32,,,,,,,,,,,,,,,,,,,,,,,,
03_45,Vasquez et al 2011,Gabbro,P,Jurassic Pluton,Cerros del Hualve,214244,6006037,166,55.9,0.69,17.5,7.77,7.64,1.3,6.48,7.64,0.13,4.22,7.9,3.31,1.09,0.09,0.38,98.9,98.52,319,41,301,4,0.7,0.2,2,94,6,19,10,23,3.1,13,3.2,1,3.4,0.6,3.7,0.8,2.3,0.34,2.4,0.38,28,64,95,-10,28,209,0,0,0,0,0,0,1,0,0,0,2,13,0,0,0,9,0,0
04_45,Vasquez et al 2011,Quartz diorite,P,Jurassic Pluton,Cerros del Hualve,217277,6003747,166,61.7,0.82,16.8,6.51,6.34,1.69,4.82,6.34,0.08,2.61,6.52,4.7,0.47,0.18,0.61,101.1,100.49,-0.05,-0.1,177,-0.05,-0.03,-0.25,6,140,4,-0.25,-0.01,-0.01,-0.01,-0.05,-0.05,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.05,-0.05,-0.03,25,-15,54,7,-15,180,0,0,0,0,0,0,-0.5,0,0,0,-0.05,21,0,0,0,-2.5,0,0
04_49,Vasquez et al 2011,Tonalite,P,Jurassic Pluton,Cerros del Hualve,210840,6008858,166,62.7,0.61,16.6,6.19,6.01,1.77,4.42,6.01,0.12,2.27,5.94,3.91,0.21,0.14,1.88,100.7,98.82,-0.05,-0.1,196,-0.05,-0.03,-0.25,6,156,4,-0.25,-0.01,-0.01,-0.01,-0.05,-0.05,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.05,-0.05,-0.03,14,54,39,5,-15,127,0,0,0,0,0,0,-0.5,0,0,0,-0.05,21,0,0,0,-2.5,0,0
04_50,Vasquez et al 2011,Gabbro,P,Jurassic Pluton,Cerros del Hualve,208506,6006337,166,54.8,1.06,16.7,9.45,9.29,1.58,7.88,9.29,0.15,4.37,8.11,2.68,1.43,0.21,1.99,101.2,99.21,288,47,390,5,1.3,0.4,6,166,5,26,20,44,5.6,24,5.4,1.3,5.3,0.9,4.7,0.9,2.9,0.4,2.8,0.4,28,78,36,11,39,255,0,0,0,0,0,0,1,0,0,0,1,22,0,0,0,5,0,0
CB19,Lucassen et al 2002,Undefined plutonic rock,P,Jurassic pluton,Deep Section Coastal Batholith,398281,7345377,170,52.27,0.89,17.9,9.16,8.95,2.11,7.05,8.95,0.12,5.72,9.45,3.49,0.67,0.15,0.28,100.1,99.82,418,20,176,0.45,0.18,-0.25,5,31.98,1.11,20,6.39,14.69,2.11,9.04,2.15,0.78,2.21,0.33,2.04,0.42,1.17,0.17,1.05,0.15,-2.5,72,0,32,67,248,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,8.39,0,0
CB42,Lucassen et al 2002,Undefined plutonic rock,P,Jurassic pluton,Deep Section Coastal Batholith,398281,7345377,170,54.08,0.84,18.1,8.61,8.41,1.99,6.62,8.41,0.14,4.86,8.63,3.7,0.95,0.17,0.29,100.37,100.08,418,17,229,1.63,0.53,-0.25,2,42.92,1.23,21,9.65,22.13,3,13.28,3.29,1.13,3.29,0.52,3.23,0.64,1.91,0.27,1.83,0.27,-2.5,74,0,41,97,191,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,5.03,0,0
CB46,Lucassen et al 2002,Undefined plutonic rock,P,Jurassic pluton,Deep Section Coastal Batholith,398281,7345377,170,59.84,0.76,16.33,6.81,6.63,1.77,5.04,6.63,0.1,2.95,6.3,3.93,1.36,0.12,0.23,98.73,98.5,267,22,215,0.56,0.15,-0.25,4,51.31,1.34,22,8.48,20.31,2.85,12.24,3.07,0.93,3.6,0.56,3.6,0.75,2.21,0.34,2.14,0.34,-2.5,72,0,16,27,161,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,6.72,0,0
CB51,Lucassen et al 2002,Undefined plutonic rock,P,Jurassic pluton,Deep Section Coastal Batholith,398281,7345377,170,55.5,0.81,18.11,8.63,8.43,1.99,6.64,8.43,0.16,4.2,8.36,3.79,0.5,0.13,0.14,100.33,100.19,401,0.5,158,0.1,0.05,-0.25,5,52.99,1.22,21,2.79,6.59,1.02,5.09,1.53,0.98,2.02,0.32,2.2,0.45,1.39,0.2,1.33,0.21,-2.5,77,0,10,38,189,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,2.16,0,0
CB70,Lucassen et al 2002,Undefined plutonic rock,P,Jurassic pluton,Deep Section Coastal Batholith,398281,7345377,170,50.45,0.99,19.74,10.24,10.07,1.71,8.53,10.07,0.17,4.9,9.93,3.29,0.13,0.13,0,99.97,99.97,279,3,33,0.33,0.1,-0.25,-0.5,13.42,0.63,15,6.34,15.09,2.13,9.83,2.61,0.97,3,0.52,3.23,0.68,2.06,0.3,1.96,0.28,-2.5,86,0,13,32,271,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,2.92,0,0
CB76,Lucassen et al 2002,Undefined plutonic rock,P,Jurassic pluton,Deep Section Coastal Batholith,398281,7345377,170,54.38,0.24,8.16,11.75,11.48,2.71,9.04,11.48,0.26,16.89,6.84,1.07,0.57,0.02,0,100.18,100.18,126,19,44,1.53,0.45,-0.25,3,47.89,1.41,20,3.91,9.89,1.47,6.39,1.85,0.35,2.28,0.4,2.67,0.6,1.92,0.29,2.03,0.32,-2.5,98,0,82,342,102,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,1.92,0,0
KU5,Lucassen et al 2002,Undefined plutonic rock,P,Jurassic pluton,Deep Section Coastal Batholith,398281,7345377,170,52.24,0.64,19.83,8.51,8.37,1.42,7.09,8.37,0.16,5.36,9.62,3.6,0.2,0.1,0.51,100.77,100.26,381,1,86,0.47,0.11,-0.25,1,47.58,1.13,9,3.33,7.41,1.02,4.65,1.32,0.91,1.5,0.24,1.6,0.34,1.02,0.14,1.03,0.16,-2.5,77,0,36,72,165,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,2.44,0,0
CBR-1A,Parada et al 1999,Tonalite,P,Papudo-Quintero Complex,Quintero,283954,6466830,170,62.75,0.7,15.68,5.91,0,5.91,0,5.91,0.08,2.24,5.09,3.52,2.83,0.2,0,99,99,17.1,67,459,19.5,3.2,0,5,381,0,33,32.2,65,0,32.5,7.36,1.42,6.05,0,5.62,0,2.88,0,3.06,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBR-1E,Parada et al 1999,Undefined plutonic rock,P,Papudo-Quintero Complex,Quintero,283954,6466830,170,52.95,1.18,17.85,9.25,0,9.25,0,9.25,0.17,3.91,8.39,4.58,0.96,0.27,0.96,100.47,99.51,390,30,109,-2.5,0.6,0,5,152,0,26,19.5,39.7,0,22,5.33,1.72,4.82,0,4.53,0,2.13,0,2.34,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQ-04-01,Mamani et al 2008,Diorite,P,Jurassic volcanic,Iquique,382308,7668248,174.1,64.1,0.61,15.9,1.39,1.35,0.4,0.99,1.35,0.11,2,4.29,3.62,3.29,0.15,0,99.44,99.44,322,127,545,0,0,0,10,273,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,58,11,6,3,104,0,0,55,0,0,0,0,0,0,0,0,18,0,0,0,9,0,0
LAN_04_01,Mamani et al 2008,Gabbro,P,Jurassic volcanic,Antofagasta,371647,7509190,174.1,52.5,1.34,15.5,1.83,1.8,0.31,1.53,1.8,0.16,4.52,8.2,3.11,1.32,0.22,0,97.85,97.85,292,46,249,0,0,0,5,107,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,77,31,23,35,299,0,0,300,0,0,0,0,0,0,0,0,16,0,0,0,9,0,0
LAN_04_02,Mamani et al 2008,Gabbro,P,Jurassic volcanic,Antofagasta,386020,7555137,174.1,55.3,0.93,16.2,2.08,2.05,0.35,1.73,2.05,0.11,4.16,7.57,3.21,1.5,0.14,0,98.14,98.14,325,55,265,0,0,0,3,113,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,53,25,18,35,287,0,0,198,0,0,0,0,0,0,0,0,15,0,0,0,12,0,0
CB11,Lucassen et al 2002,Gabbro,P,Jurassic pluton,Deep Section Coastal Batholith,398281,7345377,180,46.99,0.42,12.52,7.05,6.93,1.18,5.88,6.93,0.12,12.57,18.4,0.35,0.01,0.02,0.42,98.87,98.45,121,0.3,42,0.21,0.07,-0.25,-0.5,31.29,0.9,11,0.86,2.36,0.41,2.17,0.78,0.31,1.13,0.18,1.17,0.23,0.64,0.09,0.5,0.08,93,31,0,60,382,235,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.57,0,0
CB3,Lucassen et al 2002,Gabbro,P,Jurassic pluton,Deep Section Coastal Batholith,398281,7345377,180,42.91,0.67,23.29,10.11,9.94,1.69,8.43,9.94,0.1,6.62,13.96,0.92,0.14,0.02,1.63,100.37,98.74,387,1,38,0.27,0.06,-0.25,2,26.14,0.71,10,1.25,2.75,0.38,1.66,0.44,0.21,0.45,0.07,0.45,0.09,0.25,0.03,0.2,0.03,29,39,0,19,37,453,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,2.5,0,0
CB32,Lucassen et al 2002,Gabbro,P,Jurassic pluton,Deep Section Coastal Batholith,398281,7345377,180,45.76,0.41,23.61,7.38,7.26,1.23,6.15,7.26,0.08,6.7,15.13,1.43,0.06,0.01,0.89,101.46,100.57,312,0.3,31,0.04,0.02,-0.25,3,7.29,0.29,8,0.59,1.35,0.21,1.11,0.32,0.22,0.44,0.07,0.48,0.09,0.27,0.03,0.21,0.03,-2.5,38,0,36,132,244,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.58,0,0
CB33,Lucassen et al 2002,Gabbro,P,Jurassic pluton,Deep Section Coastal Batholith,398281,7345377,180,46.45,0.32,26.63,3.49,3.43,0.58,2.91,3.43,0.05,4.09,18.19,1.22,0.05,0.01,1.05,101.55,100.5,455,0,27,-0.05,-0.03,-0.25,2,-0.25,-0.5,11,0.85,2.22,-0.01,2.1,0.74,0.39,0.86,-0.03,1.19,-0.03,0.7,-0.05,0.59,0.08,-2.5,20,0,21,443,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0
CV05,Oliveros 2002,Quartz monzonite,P,La Negra Formation,0,392133,7489160,180,62.03,1.07,14.83,6.95,6.67,2.77,4.18,6.67,0.1,1.65,4.09,4.01,3.79,0.26,0.99,99.77,98.78,184,0,410,25,0,0,16,407,13.7,49,28,70,0,40,9.16,1.62,9.62,0,9,1.9,4.98,0,5,0.75,19,60,14,6,7,104,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV12,Oliveros 2002,Monzonite,P,La Negra Formation,0,385731,7485656,180,54.01,1.34,16.83,9.95,9.3,6.52,3.43,9.3,0.2,2.9,6.5,4.16,2.42,0.34,1.13,99.78,98.65,300,0,320,12,0,0,7,211,7.9,38,20,45,0,26,6.6,1.56,7.05,0,7.01,1.47,3.98,0,3.95,0.59,24,350,17,4,7,230,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C9G-386b,Girardi 2014,Gab,P,Gabro Caldera,Caldera-Pajonales,,,181.5,54.95,1.85,15.64,,,0.93,6.76,6.76,0.13,4.3,8.42,3.39,1.05,0.22,0.42,98.06,97.64,226,36,230,2.83,0.93,0.66,8.2,257,5.4,37.2,15.6,38,4.96,21.2,5.45,1.38,6.29,1.04,6.45,1.24,3.63,0.54,3.59,0.56,,,,,,,,,,,,,,,,,,,,,,,,
86-2-1,Pichowiak 1994,Gabbro,P,Coloso Coastal Gabbro Complex,0,347038,7362492,183.1,50.33,0.41,17.39,8.64,8.45,1.91,6.73,8.45,0.13,8.87,11.53,1.71,0.37,0.11,1.49,98.98,97.49,317,16,77,0,0,0,3,72,0,14,4.4,11.65,0,5.9,1.8,0.5,1.7,0,1.9,0,1.1,0,1.2,0.2,0,36,0,98,203,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86-2-4,Pichowiak 1994,Gabbro,P,Coloso Coastal Gabbro Complex,0,347038,7362492,183.1,45.84,1.36,17.24,12.71,12.42,2.86,9.85,12.42,0.2,5.81,12.22,1.95,0.56,0.07,0.6,98.56,97.96,320,14,145,0,0,0,2,65,0,14.8,3.68,12.3,0,6.1,1.98,1,2,0,2.1,0,1.2,0,1.2,0.2,0,69,0,30,80,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86-2-5,Pichowiak 1994,Gabbro,P,Coloso Coastal Gabbro Complex,0,347038,7362492,183.1,54.11,1.06,18.43,8.81,8.55,2.56,6.25,8.55,0.19,3.71,8.5,3.65,0.79,0.09,0.64,99.98,99.34,396,7,228,0,0,0,3,88,0,20,6.1,17.3,0,8.7,2.8,1.1,2.4,0,2.7,0,1.6,0,1.8,0.3,0,76,0,15,60,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86-2-6,Pichowiak 1994,Gabbro,P,Coloso Coastal Gabbro Complex,0,347038,7362492,183.1,52.26,0.77,16.84,9.42,9.14,2.77,6.65,9.14,0.17,5.56,9.85,3.18,0.75,0.13,0.33,99.26,98.93,303,22,183,0,0,0,4,160,0,17,4.72,15.46,0,6.93,1.85,0.59,1.76,0,1.93,0,1.2,0,1.4,0.2,0,63,0,20,151,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86-2-7,Pichowiak 1994,Gabbro,P,Coloso Coastal Gabbro Complex,0,347038,7362492,183.1,57.97,0.97,16.55,7.9,7.65,2.47,5.43,7.65,0.11,2.41,5.43,4.09,2.12,0.26,0.6,98.41,97.81,254,67,330,0,0,0,24,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,34,120,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ln4,Pichowiak 1994,Diabase,P,La Negra Formation,0,347423,7326348,183.1,51.86,1.76,15.56,10.63,10.3,3.25,7.38,10.3,0.35,4.02,6.7,4.2,2.65,0.45,1.3,99.48,98.18,283,65.5,522,5.5,0,0,8,227,0,49,19.05,44.9,0,26.83,6.75,1.84,6.47,0,6.53,0,4,0,3.42,0.49,30,0,22,13,45,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST-158q,Salazar et al 2013,Andesite (dike),P,Lautaro Formation,0,380900,6819390,183.8,48.25,1.04,15.04,7.74,7.54,2.01,5.73,7.54,0.08,11.53,6.79,3.37,1.86,0.49,3.48,99.67,96.19,2120,27,870,3.21,0.77,0.61,9,106,3.69,0,38.21,87.33,11.33,46.94,8.26,2.52,5.85,0.75,3.73,0.76,2.03,0.27,1.69,0.26,2,111,5,92,169,238,0,0,80,0,0,0,0,0,0,0,1.39,0,0,0,0,19,0,0
ST-178q,Salazar et al 2013,Andesite (dike),P,Lautaro Formation,0,376551,6797279,183.8,51.05,0.56,15.4,6.01,5.85,1.56,4.45,5.85,0.09,3.62,8.79,2.81,2.67,0.26,8.5,99.74,91.24,470,56,776,5.54,1.61,0.88,12,126,4,0,34.85,70.98,8.27,32.28,5.95,1.92,4.78,0.69,3.68,0.77,2.13,0.3,1.92,0.31,5,60,11,11,13,135,0,0,20,0,0,0,0,0,0,0,3.98,0,0,0,0,14,0,0
OI  -24q,Creixell et al 2012,Granodiorite,P,Quebrada La Vaca Tonalite,0,264784,6769290,185,65.68,0.6,15.65,4,3.88,1.14,2.86,3.88,0.05,3.64,4.11,3.48,1.38,0.12,0.82,99.52,98.7,314.9,31.4,177.3,1.01,1.09,0.25,-2.5,97.2,2.5,7.06,10.3,20.73,2.24,9,1.82,0.65,1.62,0.25,1.47,0.3,0.82,0.12,0.79,0.12,-2.5,41.98,-2.5,-2.5,11.79,48.33,0,0,278.79,0,0,0,0,0,0,0,0.8,0,0,0,0,-5,0,0
FL-16-11,Rodriguez et al 2019,Quartz diorite,P,Flamenco Pluton,Coastal Range batholith,336000,7070000,188.6,55.72,0.75,17.76,4.04,3.94,1.05,2.99,3.94,0.16,4.32,8.26,2.69,0.71,0.1,1.11,99.06,97.95,160,32.3,196,3.6,0,0,3.6,0,-5,21.2,9.2,19.4,2.5,12,2.8,1,3.4,0.6,3.6,0.9,2.7,0.4,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL-16-2,Rodriguez et al 2019,Granodiorite,P,Flamenco Pluton,Coastal Range batholith,348000,7061000,188.7,67.38,0.5,15.01,3.98,3.87,1.14,2.84,3.87,0.06,1.71,3.49,3.16,3.82,0.13,1.2,100.5,99.3,286,186,487,16.5,0,0,8.4,0,-5,28.7,26.4,59.6,8,30.3,5.6,1.2,5.4,0.8,4.5,1,2.8,0.4,2.5,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CI -16q,Creixell et al 2012,Granodiorite,P,Quebrada La Vaca Tonalite,0,264643,6777591,189.2,56.69,1.21,16.35,7.3,7.09,2.09,5.21,7.09,0.12,5.77,5.86,2.76,2.87,0.22,0.45,99.6,99.15,311.3,49.15,382.3,1.98,2.2,0.65,9.11,159.9,3.65,20.54,22,47.1,5.47,22.59,4.77,1.28,4.35,0.66,4.09,0.88,2.45,0.35,2.32,0.35,-2.5,38.81,8.18,-2.5,38.54,175.3,0,0,7.34,0,0,0,0,0,0,0,3.64,0,0,0,0,-5,0,0
86-2-8,Pichowiak 1994,Gabro (dikes and stocks),P,Caleta Coloso stocks,0,347084,7364160,190,43.78,0.63,22.19,9.29,9.08,2.13,7.16,9.08,0.14,6.49,14.16,1.24,0.18,0,0.98,99.08,98.1,320,16,66,0,0,0,0,33,0,5.49,1.69,5.25,0,2.1,0.78,0.44,0.7,0,0.78,0,0.47,0,0.46,0.06,0,52,0,0,79,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87-0-1,Pichowiak 1994,Undefined plutonic rock,P,Hornitos composite stock,0,369354,7519578,190,50.12,1.6,18.48,8.43,8.12,3.1,5.33,8.12,0.15,4.8,9.86,2.82,1.01,0.41,1.4,99.08,97.68,330,35,204,5,0,0,5,59,0,22.77,12.81,30.5,0,17.14,4.15,1.35,4.28,0,3.78,0,1.97,0,1.68,0.32,36.09,51,64,23,46,618,0,0,29,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
87-0-2,Pichowiak 1994,Undefined plutonic rock,P,Hornitos composite stock,0,369354,7519578,190,51.87,1.41,16.92,8.41,8.12,2.91,5.5,8.12,0.16,5.57,7.34,3.55,1.83,0.3,1.42,98.78,97.36,255,71,168,5,0,0,5,143,0,32.58,11.26,30.53,0,18.54,4.8,1.64,5.16,0,5.15,0,2.84,0,2.62,0.45,24.5,67,73,72,148,162,0,0,49,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
87-1-1,Pichowiak 1994,Gabbro,P,Hornitos composite stock,0,369354,7519578,190,47.47,0.97,14.88,9.78,9.53,2.47,7.31,9.53,0.16,10.91,11.08,2.27,0.44,0.22,0.68,98.86,98.18,436,5,109,5,0,0,5,53,0,20.45,7.99,21.97,0,15.11,3.96,1.13,3.96,0,3.45,0,1.89,0,1.6,0.28,40.9,67,82,215,621,290,0,0,133,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
87-1-3,Pichowiak 1994,Gabbro,P,Hornitos composite stock,0,369354,7519578,190,44.95,1.26,18.17,12.26,11.98,2.76,9.5,11.98,0.2,6.86,12.38,1.87,0.22,0.34,0.73,99.24,98.51,500,3,77,5,0,0,5,30,0,23.27,7.41,20.79,0,14.72,4.06,1.17,4.47,0,3.88,0,2.17,0,1.71,0.33,43.79,83,66,36,73,431,0,0,137,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
87-1-4,Pichowiak 1994,Gabbro,P,Hornitos composite stock,0,369354,7519578,190,44.45,0.25,28.66,4.16,3.98,1.75,2.41,3.98,0.05,3.25,15.91,1.48,0.02,0.11,1.2,99.54,98.34,542,2,36,5,0,0,5,7,0,3.57,2.07,4.01,0,2.45,0.63,0.38,0.69,0,0.64,0,0.45,0,0.28,0.05,16.6,23,54,25,21,119,0,0,188,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
OI - 64q,Creixell et al 2012,Tonalite,P,Quebrada La Vaca Tonalite,0,277767,6786097,190.4,56.25,1.05,15.97,7.71,7.49,2.2,5.51,7.49,0.12,6.57,6.44,2.5,2.39,0.19,0.4,99.59,99.19,286.2,44.79,286,2.04,1.99,0.85,9.27,118.9,3.24,20.7,22.17,46.31,5.39,22.28,4.75,1.11,4.36,0.67,4.13,0.87,2.45,0.34,2.24,0.34,-2.5,34.07,8.96,-2.5,50.81,196.2,0,0,56.48,0,0,0,0,0,0,0,4.05,0,0,0,0,12.81,0,0
